FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E08000002,2013-2014,LA rents and charges,,69.8,a. Weekly rent mean
E08000002,2013-2014,LA rents and charges,,71.9,b. Weekly total charges mean
E08000002,2015-2016,LA rents and charges,,73.9,b. Weekly total charges mean
E08000002,2014-2015,LA rents and charges,,73.5,b. Weekly total charges mean
E08000002,2015-2016,LA rents and charges,,72,a. Weekly rent mean
E08000002,2014-2015,LA rents and charges,,71.5,a. Weekly rent mean
E08000003,2014-2015,LA rents and charges,,71.7,a. Weekly rent mean
E08000003,2015-2016,LA rents and charges,,75.1,b. Weekly total charges mean
E08000003,2013-2014,LA rents and charges,,69.4,a. Weekly rent mean
E08000003,2013-2014,LA rents and charges,,71.1,b. Weekly total charges mean
E08000003,2014-2015,LA rents and charges,,73.8,b. Weekly total charges mean
E08000003,2015-2016,LA rents and charges,,72.5,a. Weekly rent mean
E08000004,2014-2015,LA rents and charges,,81.4,a. Weekly rent mean
E08000004,2013-2014,LA rents and charges,,79.3,b. Weekly total charges mean
E08000004,2015-2016,LA rents and charges,,86.9,b. Weekly total charges mean
E08000004,2013-2014,LA rents and charges,,70.4,a. Weekly rent mean
E08000004,2015-2016,LA rents and charges,,67,a. Weekly rent mean
E08000004,2014-2015,LA rents and charges,,85.1,b. Weekly total charges mean
E08000006,2014-2015,LA rents and charges,,79.2,b. Weekly total charges mean
E08000006,2013-2014,LA rents and charges,,76.4,b. Weekly total charges mean
E08000006,2013-2014,LA rents and charges,,70.7,a. Weekly rent mean
E08000006,2015-2016,LA rents and charges,,89.3,b. Weekly total charges mean
E08000006,2015-2016,LA rents and charges,,70.7,a. Weekly rent mean
E08000006,2014-2015,LA rents and charges,,74,a. Weekly rent mean
E08000007,2015-2016,LA rents and charges,,73.4,a. Weekly rent mean
E08000007,2013-2014,LA rents and charges,,83.3,b. Weekly total charges mean
E08000007,2013-2014,LA rents and charges,,70.6,a. Weekly rent mean
E08000007,2015-2016,LA rents and charges,,84.7,b. Weekly total charges mean
E08000007,2014-2015,LA rents and charges,,72,a. Weekly rent mean
E08000007,2014-2015,LA rents and charges,,84.4,b. Weekly total charges mean
E08000010,2014-2015,LA rents and charges,,73.8,a. Weekly rent mean
E08000010,2015-2016,LA rents and charges,,76,b. Weekly total charges mean
E08000010,2015-2016,LA rents and charges,,75.1,a. Weekly rent mean
E08000010,2013-2014,LA rents and charges,,70.1,a. Weekly rent mean
E08000010,2014-2015,LA rents and charges,,74.7,b. Weekly total charges mean
E08000010,2013-2014,LA rents and charges,,70.7,b. Weekly total charges mean
E08000016,2013-2014,LA rents and charges,,70.3,a. Weekly rent mean
E08000016,2013-2014,LA rents and charges,,70.9,b. Weekly total charges mean
E08000016,2015-2016,LA rents and charges,,74.8,a. Weekly rent mean
E08000016,2014-2015,LA rents and charges,,74.2,b. Weekly total charges mean
E08000016,2015-2016,LA rents and charges,,75.3,b. Weekly total charges mean
E08000016,2014-2015,LA rents and charges,,73.9,a. Weekly rent mean
E08000017,2015-2016,LA rents and charges,,74.4,b. Weekly total charges mean
E08000017,2015-2016,LA rents and charges,,74.3,a. Weekly rent mean
E08000017,2014-2015,LA rents and charges,,72.8,b. Weekly total charges mean
E08000017,2014-2015,LA rents and charges,,72.7,a. Weekly rent mean
E08000017,2013-2014,LA rents and charges,,65.8,b. Weekly total charges mean
E08000017,2013-2014,LA rents and charges,,65.8,a. Weekly rent mean
E08000018,2013-2014,LA rents and charges,,70.1,b. Weekly total charges mean
