FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E08000008,2013-2014,PRP rents and charges,,82.2,b. Weekly total charges mean
E08000008,2016-2017,PRP rents and charges,,84.3,b. Weekly total charges mean
E08000008,2016-2017,PRP rents and charges,,78.5,a. Weekly rent mean
E08000008,2013-2014,PRP rents and charges,,77.1,a. Weekly rent mean
E08000008,2015-2016,PRP rents and charges,,79.4,a. Weekly rent mean
E08000008,2014-2015,PRP rents and charges,,80,a. Weekly rent mean
E08000008,2014-2015,PRP rents and charges,,85.4,b. Weekly total charges mean
E08000009,2015-2016,PRP rents and charges,,91.7,b. Weekly total charges mean
E08000009,2015-2016,PRP rents and charges,,86,a. Weekly rent mean
E08000009,2014-2015,PRP rents and charges,,85.4,a. Weekly rent mean
E08000009,2014-2015,PRP rents and charges,,91,b. Weekly total charges mean
E08000009,2016-2017,PRP rents and charges,,84.9,a. Weekly rent mean
E08000009,2013-2014,PRP rents and charges,,84.7,a. Weekly rent mean
E08000009,2016-2017,PRP rents and charges,,92.4,b. Weekly total charges mean
E08000009,2013-2014,PRP rents and charges,,90.3,b. Weekly total charges mean
E08000010,2014-2015,PRP rents and charges,,85.8,b. Weekly total charges mean
E08000010,2016-2017,PRP rents and charges,,78.5,a. Weekly rent mean
E08000010,2015-2016,PRP rents and charges,,80.5,a. Weekly rent mean
E08000010,2013-2014,PRP rents and charges,,73.2,a. Weekly rent mean
E08000010,2013-2014,PRP rents and charges,,79.6,b. Weekly total charges mean
E08000010,2014-2015,PRP rents and charges,,80.2,a. Weekly rent mean
E08000010,2016-2017,PRP rents and charges,,89.7,b. Weekly total charges mean
E08000010,2015-2016,PRP rents and charges,,87.7,b. Weekly total charges mean
E08000011,2014-2015,PRP rents and charges,,82.5,a. Weekly rent mean
E08000011,2013-2014,PRP rents and charges,,79.5,a. Weekly rent mean
E08000011,2015-2016,PRP rents and charges,,89.1,b. Weekly total charges mean
E08000011,2016-2017,PRP rents and charges,,81.2,a. Weekly rent mean
E08000011,2014-2015,PRP rents and charges,,87.5,b. Weekly total charges mean
E08000011,2016-2017,PRP rents and charges,,85.7,b. Weekly total charges mean
E08000011,2015-2016,PRP rents and charges,,83,a. Weekly rent mean
E08000011,2013-2014,PRP rents and charges,,83.9,b. Weekly total charges mean
E08000012,2014-2015,PRP rents and charges,,85.6,b. Weekly total charges mean
E08000012,2016-2017,PRP rents and charges,,85.6,b. Weekly total charges mean
E08000012,2014-2015,PRP rents and charges,,81.1,a. Weekly rent mean
E08000012,2013-2014,PRP rents and charges,,82.2,b. Weekly total charges mean
E08000012,2013-2014,PRP rents and charges,,78.2,a. Weekly rent mean
E08000012,2016-2017,PRP rents and charges,,80.8,a. Weekly rent mean
E08000012,2015-2016,PRP rents and charges,,82.1,a. Weekly rent mean
E08000012,2015-2016,PRP rents and charges,,86.9,b. Weekly total charges mean
